content,score,sentiment_clean
"app useless karena tidak bisa beli tiket sehari sebelumnya. even sudah jam 6 pagi di hari yg sama masih tidak bisa beli tiket!! nunggu jam kerja baru aktif atau gimana sih asli deh, dr semua app cinema paling ga guna. mana setiap balik ke halaman depan muncul pop up iklan film yg sama berulang ulang.",1,negative
Nah gini metode pembayarannya banyak opsinya jgn cuman 1 doang 👍👍👍👍👍,5,positive
INI APA APAAN YA ? SUDAH BERHASIL BELI SEENAKNYA DI CANCEL ALASAN TIKET SUDAH KALIAN JUAL KE ORANG LAIN ? Fix Blacklist dan Uninstall,1,negative
thank you for making this app,5,positive
"keseringan update, tiap 6 bulan aja kek napa",3,negative
helpfull.,5,positive
"Fitur TIX Food gak bisa pembayaran via kartu di DANA, bisanya hanya pake saldo DANA",3,negative
kerenlu anjjg,5,negative
Mudah dan cepat,5,positive
Great,5,positive
Ok,5,positive
"Sekarang udah bisa bayar lewat Gopay & ShopeePay, nggak cuma Dana. Gitu dong... 👍",5,positive
Keren memudahkan beli tiket nonton Online.,5,positive
Seriusan daftar akun kode OTP cuma bisa request 1 kali? Kalau ga terkirim harus nunggu besok. Langsung uninstall.,1,negative
"Bagus, tapi pembayaran hanya pakai DANA. Saya tak pakai DANA. Uninstall jadinya.",2,negative
Bagus dan memudahkan pemesanan tiket,5,positive
Aplikasinya sih udah bagus ya. Sayang opsi pembayarannya cuma Dana. Bahkan pembayaran pake CC pun gak support.,3,negative
good app,5,positive
Simple dan praktis,5,positive
"good app, update ya sekarang bisa beli makanan dan mercendise sekalian",5,positive
ribet kalau cuma bisa pakai dana.,1,negative
"Fix your calculation for transactions, imagine buying 6 ticket around 25k(become 150k) and 4k admin fee, but total become 174k. Where 20k fee is come from? Better I'm buying the ticket at cinemas",1,negative
"overall, great 👍🏻",5,positive
"Harusnya ada limit waktu buat refund. Bukan ga ada sama sekali, kapitalis bgt heran. Udah di reply pihak CS Malah divalidasi lagi ga bakal bisa di refund. Emang serakah kapitalis abis",1,negative
😂🥰🫠🤩😂😍🤩😀,5,positive
servernya jelek eror dan hanya muter saja,2,negative
Ngejar promo malah lemot,1,negative
Server bapuk su,1,negative
"ngasih promo tapi pas CO lemot banget, bahkan beli tanpa promo pun sama lemot. buat liat kursi aja ngecrash enggak jalan-jalan. perasaan hp enggak kentang jaringan juga stabil. udah berkali-kali refresh tapi sama aja. dan ini enggak cuma terjadi di device saya, bahkan di device teman saja juga sama lemot banget.",1,negative
"perbaiki lah servernya, error mulu",1,negative
"Pembayarannya cuma bisa pake aplikasi dana doang, gak ada pililhan lain seperti gopay, sophee pay, atau transfer bank",1,negative
"Aplikasinya bagus, mudah di gunakan. Cuman 1, biaya admin per-tiket nya mahal.",4,positive
good,5,positive
"Love this app,I just wish that you can rate movie that you've watched but didn't buy the ticket at Tix (my mum prefers traditional payment idk why),I just use this to see the broadcast schedule:)",4,positive
"tolonglah ditambah pilihan metode pembayarannya, sayang banget kalo cuma bisa pake dana. pas liat review jawabannya hampir sama semua:), itu sebenernya ada niat bikin appnya lebih baik atau yaudah gitu aja asal ada respon wkwk",2,negative
"Promo buy 1 get 1 nya gak jelas, udah ada aplikasi malah di arahin suruh download, begiti dibuka balik lagi ke menu utama Tix, capee deh....",1,negative
app ga jelas buat ragu aja,5,positive
APLIKASI SAMPAH,1,positive
"Very good application, you can buy movie tickets in various types of cinemas, but unfortunately payment can only be made through Dana",2,positive
"Biaya layanan dihitung sesuai jumlah tiket yg dipesan, Rp. 4000 dikalikan jumlah tiket. Apakah tidak terlalu tinggi? Sementara aplikasi lain yg setara bisa memberlakukan biaya layanan per pemesanan, bukan per jumlah tiket.",2,negative
"bagusss, mudah dipakai wkwk. pertama kali nyoba beli tiket bioskop online jadi lebih mudah ya",5,positive
cool,5,positive
Mau reset pasword ga bisa2,1,negative
kalau bisa tolong tambahin payment selain dana yaa,5,mixed
"Beli tiket bioskop jadi gampang banget, tinggal buka aplikasi, pilih film, dan tap-tap layar. Nggak perlu lagi antri di loket tiket yang panjang dan ribet",4,positive
Serasa di spam notifikasi iklan dan promo,1,negative
😃😃😃,5,positive
love this! ❤️,5,positive
Good,5,N/A
biaya adminnya jangan gede² dong:(( trs perbanyak pilihan kalo mau redeem poin,5,negative
"So far good, easy to use & no bugs. Recommended.",5,positive
Skibidi,5,mixed
"Bagus sih, cumaa masukin nomer lama yg masih di pakai, sudah sulittttt",1,negative
Can only buy ticket with Dana (Blacklisted this e-wallet),2,negative
Luar biasa semua bioskop dalam 1 aplikasi,5,positive
very good 🥰,5,positive
I cannot make an order.,1,negative
Nice!,5,positive
banyakkin promonya dong,4,negative
Good job,5,positive
welldone 💥💥💥💥💥,5,positive
"31 maret sudah update sekarang 5 april disuruh update lagi sampe app gabisa dibuka & diperlukan update? Mending gausah sekalian, thank you",1,negative
"Good app, you can buy movie tickets from all over Indonesian Country, in XXI franchise and CGV Franchise.",5,positive
Easy to use.,5,positive
Tempat beli Tiket andalan,5,positive
skip kalo pembayaran masih pakai DANA,1,negative
magnificent,5,positive
Ngapain bikin aplikasi kalo tiket masih bisa dibeli orang lain. Aplikasi ini gada guna selain cuma buat liat film yg ready doang.,1,negative
"Sangat kecewa sihh, udah berkali-kali mau tukar poin Loyaltix buat tukar ke ticket Bioskop terus saja mengalami permasalahan sistem. Sudah di clear cache, clear data, force stop tetap saja mengalami permasalahan sistem yang mana akhirnya tidak bisa tukar poin & poin Loyaltix saya terancam bisa hangus atau expired karna ada tenggat waktu penukaran poinnya. Gak mungkin kuota hariannya bisa habis secepat itu karna saya tukar di jam-jam waktu sahur. Sangat-sangat kecewa. 😤",2,negative
The best Tix id,5,positive
perfect,5,positive
Tolong buatkan menu untuk hapus history pembelian/yang telah di tonton. Clear history transaction / Clear / delete movie transaction.,2,negative
mantuuull admin nya bisa kali dikurangin,5,negative
"Been using this app since day 1 (I guess?), so far I am totally satisfied by how it developed so well, the improvements on every updates, the UI/UX, the experience & ease it gave us—compared to other cinema ticket purchasing app—this one is the most stable one. Bener"" pake dr pajak tiketnya 2rb smp skrg 4rb, even it survived the covid era, udh sering coba app lain tp emg gaada yg se-stabil & se-mudah ini experiencenya. Tp tolong bgt sering promo/adain voucher/jgn pelit lah ngasih pointnya😔",5,positive
"Saya lupa password, ketika hendak minta reset kode tidak kunjung dikirim. Saat minta kode yang kedua kalinya malah muncul notifikasi OTP mencapai limit. Aplikasi tidak jelas. Kalau memang tidak boleh dua OTP dalam satu hari tidak perlu kasih opsi kirim ulang. Sudahlah menunggu 5 menit, masih gagal juga. Saya sangat tidak approve aplikasi ini, maaf. Tapi saya kecewa.",1,negative
akses mudah terbaik buat payment,5,positive
Oke,5,positive
"Bad customer service. I just want reschedule not refund, and the CS, Bella dont show friendly manner to explain it just reply with bot answer. Just rude. I'm download to this app for long time but I think I should uninstall it. Please improve the UI/UX for exp add the day & date not only date when choosing seat or make it bold and clear for transactions can not be canceled or reschedule it. Totally not worth the experience for cust service. And before I message via WA, I cant call the CS center.",1,negative
Semoga banyak promo dan biaya admin tolong jangan terlalu mahal,4,mixed
tidak ramah,1,negative
nice,5,positive
Susah topup ribet pake mandiri,1,negative
Maybe you need have an option using Virtual Account,4,mixed
Very useful...thanks,5,positive
Sangat membantu dalam memberikan informasi film yan sedang ditayangkan,5,positive
"Terlalu mahal biaya adminnya, untuk kedepannya tolong dikurangi lagi harganya, kalau beli 2 tiket semoga bisa bayar dihitung satu saja, makasih.",2,negative
very helpful 👌 terimakasih,5,positive
"Thought it would be convenient to use this, but its a terrible experience. UI is great, but the transfer between pages feel sluggish, and the processing time for booking is horrendous. By far the worst thing is forcing to pay through the worst e-wallet service I have ever used (Dana). I need to pay through that which requires me to top-up which requires me to do a bunch of unnecessary tasks in a garbagely set-up application. Just let me pay using a CC, debit card, or another payment gateway.",1,negative
good,4,positive
Dah mantep dah pokoknya!,5,positive
Kenapa muter²terus mau mesen ti ket malah muter²terus gjls,1,negative
"sejauh ini membantu kalo utk beli tiket, perlu diingat para pengguna, gunakan fitur utk pengembalian 50%",4,positive
good,5,positive
memudahkan beli tiket,5,positive
"Mantap, sangat membantu utk yg hobi nonton",5,positive
It's easy but it rarely gives discount,3,mixed
"Lumayan okeh dan cepat tanpa antre, tp biaya adminnya masih kegedean hehehe. Overall good",4,positive
"Buka akses lihat review untuk semua, review kok dikunci cuma boleh dilihat oleh yg sudah beli tiket.",4,negative
eazy to used,5,positive
"ga harus capek2 buka Mt** atau C*** buat ngecek film, disini ada semua, mantap, pembayaran gampang",5,positive
"Metode pembayaran hanya bisa pake DANA, payah amat, mending uninstall aja, DANA udh blacklist bagi gue",1,negative
aplikasi cacat,1,positive
Sangat mempermudah proses pembelian tiket. App sangat jarang error.,5,positive
kenapa ahir ahir ini gabisa dibukaa apknya:( apa hp ku yaa yg udah mulai lemott;((,4,negative
very helpful but less flexible in payment,4,mixed
Aplikasi OK mantab dulu langganan tapi sekarang GA kayak dulu biaya layanan dulu cman 2000 sekarang 4000 murahin dong kalau GA samain dengan mtix yg cman 3000,4,negative
very good,5,positive
great,5,positive
"free to choose a seat, free to queue, feels like a private cinema, its soo great",5,positive
Minusnya cuman bisa bayar via Dana,3,negative
jam 2 pagi refund,5,negative
Excellent service,5,positive
memudahkan,5,positive
good,5,positive
The admin fee is crazy tho.,3,negative
okeeyy,5,negative
Membantu sekali untuk kita melihat update film dan kadwal film terkino,5,positive
Bayar cuma bisa pake Dana.,2,negative
ok,5,positive
Mantul,5,negative
Easy to use. Easy to pay. More Promo pleaseee,5,positive
"Praktis.. Sangat mudah digunakan tinggal sat set , nonton",5,positive
An option to select push notification types would be nice (for example: important push notification only). I received a lot of notification from TIX ID in a day and had to disable notification entirely,3,negative
"Rating di film2nya palsu banget, film yg sampah aja masih dikasih rating 9 sama aplikasinya",1,negative
"males banget pake dana, ga ada yg lain apa",1,negative
good aplikasi,5,positive
Ok,4,positive
Mempermudah membeli tiket bioskop. Nice Apps,4,positive
Simple dan Gak Ribet klw mw beli tiket,5,positive
Amazing 😍,5,positive
Good,5,positive
Very easy and efficient to use,5,positive
Memudahkan,5,positive
eazy to use,5,positive
Great app,5,positive
"Mantap, gak perlu lagi antri-antrian",5,positive
Always spamming annoying notification,1,negative
goid,5,positive
good apps,5,positive
"Good app! A very quick and convenient way to look on available movies that are showing on the nearest cinemas. One thing that it's lacking is, you can't book a ticket for a movie that is showing, even if it has only been 2 minutes past the time.",4,positive
Ga bisa login di banyak hp. Masa 1 akun cuma 1 hape doang? Ga flexible banget.,1,negative
Easy use app,4,positive
Apaan gabisa jalan di blakang layar... Gw daftar -> ngirim otp -> ngecek kotak pesan bentar -> eh tekeluar ke menu appnya.... Review 4.8 itu pake bot kah bang?,1,negative
Fun!!!,5,positive
Aplikasi ini sangat membantu 50% cuma biyaya admin nya 4rb gak kaya aplikasi sebelah anjir mahal wkwkw walau beda seribu 🥰 good job developer nya sangat pandai,5,positive
Ok,4,positive
Great applicant,5,positive
Walaupun lebih mahal tapi UI nya lebih friendly dan cakupanya lebih luas ga 1 *merek bioskop doang...,4,positive
What's this? he said to come back tomorrow to get the otp code. but why can't it be done now? why is this. Why? Why? whyyyyy??? How do I buy tickets if I can't register???,2,negative
Lebih mudah menonton gak perlu antri dan nyan memilih kursi tempat duduk,5,positive
Aplikasi yang sederhana dan memudahkan dalam memesan tiket,5,positive
"Kenapa Akhir-akhir ini saya tidak bisa masuk ke aplikasi TIX ID?🤔 Saya sudah coba uninstal dan instal kembali aplikasi TIX ID, tapi tetap tidak bisa masuk😑. Saya harap masalah ini bisa SEGERA di perbaiki karena sangat mengganggu kenyamanan pengguna🙁 Saya kasih bintang⭐ 1 dulu",4,negative
Keren dan functional,5,positive
"Pencarian kursi-nya kurang oke. Karena sering hanya kelihatan kurang setengah studio saja. Coba tambah fitur seperti kursi rekomendasi atau gmn. Supaya ga pusing pilih kursi. 🤣 Sama bbrp lokasi Bintaro dan BSD Serpong masih Tangerang, bukan Tangsel, jadi bingung. Coba kasih opsi untuk melihat semua bioskop favorit tanpa ganti kota/provinsi.",4,negative
very helpful,5,positive
Bagus,5,positive
so slow:),1,negative
good service and easy to use,5,positive
Usefull!!!,5,positive
Mantap,5,positive
Worst,1,negative
ok.thanks.,5,negative
biaya adminnya kemahalan sii kl pesan tiket online ☺️☺️,2,negative
"Udah lama pake tix id. Bagus. Hanya aja, okupansi tempat duduk kurang update. Contoh saya beli tiket langsung di loket di kursi A1. Setelah itu saya buka tix id, ternyata kursi A1 terlihat masih kosong dan bisa di booking. Itu aja sih. Semoga ke depannya bisa lebih update lagi.",5,mixed
excellent,5,positive
i guess your forget pass feature (OTP) is using free tier. Only one time per day? And... OTP not sent to my phone number successfully,2,negative
good,5,positive
Suka belly,5,negative
platform praktis buat beli segala macam tiket biskop,5,positive
"So much better than using the official XII app or GoTix, which is what I was doing before. One star less because the apps makss you go through the minor annoyance of starting a Dana account. Also, there are some smaller cinema chains outside of the big three which don't appear on the app - would be nice to have easy access to them too.",4,positive
Lf3 And what you got about it and what you got it up about the guys. I don't worry hickwater in a book whatever hinda,4,negative
Execelent,5,positive
cool,5,positive
Bertahun-tahun masih aja sistem poin ga bisa dipakai. Guna nya apa dong ada fitur ini?,2,negative
Good app,5,positive
Nice,5,positive
"Great apps, but kalo promo nya di klik gabisa langsung ke film nya malah re direct ke web dulu terus mbalik ke apps wkwkwk cuma itu aja sih... Lainnya fine",5,negative
Its help me a lot! Thankyou🩶,5,positive
aplikasinya mudah dan gampang,5,positive
"Metode pembayaran hanya bisa menggunakan DANA, alangkah baiknya jika bisa menggunakan debit online atau metode lain",1,negative
Comfortable app,5,positive
✨✨✨,5,negative
great and easy pay,5,positive
Helpful....,5,positive
Sangat membantu,5,positive
Gak update bioskop yg sudah dolby atmos misalnya di margo xxi,3,negative
Very good!!,5,positive
"Sistem payment hanya tersedia DANA, e-wallet lain, Qris, dan VA bank tak tersedia. Menyusahkan.",1,negative
Awesome,5,positive
Good cinema,5,positive
Good..can be better..,4,mixed
So far so good,5,positive
Kerennnn coiii sangat mempermudah saya yang males beli offline,5,positive
awesome,5,positive
"Pop up mengganggu selalu muncul tiap buka aplikasi dan tombol klik close bertanda X amat sangat tidak berfungsi, klik area manapun tetap terbuka dialihkan ke browser membuka link promosi dalam pop up. AMAT SANGAT MENGGANGGU !!! Sekalipun hati-hati banget klik tombol closed tetapa aja kebuka link-nya. Makanya makin males pake TIX ID, prefer buka apps bioskopnya masing-masing.",2,negative
"App cukup memudahkan, tetapi ada kekurangannya..biaya layanan yg cukup mahal per/tiket...coba dipertimbangkan kembali, membuat app tp membuat penonton membayar biaya layanan cukup tinggi, hrsnya 1-2rb pertransaksi...dengan bgini minat org utk membeli di apps jg lbh byk.. Terima kasih",2,negative
Nyaman menggunakan TIX ID,5,positive
Ok,5,positive
Easy to use and fast to respon,5,positive
"Pop up nya ganggu banget, njir. baru buka app langsung nongol pop up, kalo g sengaja kepencet langsung buka browser. Mending ke app bioskop aslinya dah kalo kaya Gini",1,negative
"Kebanyakan iklan deh sekarang, ganggu bgt. Fee nya juga naik mulu",1,negative
"Takedown saja app ini, jauh lebih cepat dan mudah M.tix, moda pembayaran juga lebih bagus, thumbsdown !",1,negative
Very useful,5,positive
"How can my account is not getting the discount event while anyone got it , its not fair",1,negative
Oke,5,negative
Baru-baru ini suka keluar sendiri.. ngecrash,2,negative
Mempermudah pengguna,5,positive
bagus kupon kemahalan,5,positive
Ngak Ngorot,4,positive
i am like a aplikasi and wow buangett yaa aku suka ini aplikasi dan wah bangett yaa hahaha 1000×,5,positive
Nice app,5,positive
good,5,positive
"Beli tiket bioskop jadi lebih mudah, gak perlu antri panjang 😊",5,positive
"Kemahalan adminnya, Rp.4000, itupun per kursi bukan per transaksi, olshop aja Rp.1000/transaksi, padahal sistemnya lebih kompleks",1,negative
sae pisan euy👌🏻👍🏻😉,5,positive
best,5,positive
Bagus sangat membantu,5,positive
sangat berguna apalagi kalau pas filmnya yg banyak diincer orang buat nonton jadi gak perlu ngantri,5,positive
Nice app,5,positive
Good,4,positive
"Payment method using Dana only... Surabayan sad ""Goblox""",1,negative
mempermudah pembelian tiket bioskop.. terima kasih,5,positive
Just 4 to now,4,negative
Mantap,5,positive
ok,5,positive
Simple and easy,5,positive
"Point tidak bisa digunakan apa apa, sampe terkumpul 12k. Biaya admin lumayan tinggi, tapi tidak pernah ada promo. Haduuuh, minimal promo koin lah biar bisa dipake nih koin",1,negative
okelah,5,negative
"Sangat baik digunakan, mempermudah kita untuk memesan dan melihat update an terbaru di bioskop",5,positive
Cannot register bcs not receive OTP code,1,negative
Oke,5,negative
Auto uninstall Karna ga punya Dana,3,negative
Helpfull,5,positive
Pesan tiket lbh mudah no antre no ribet pasti lgsg save kursi yg kita mau lbh cepat .. sip dtg lgsg scan barcode then ticket lgsg ready .. mantulity,5,positive
is so good.....haaahhh,5,positive
"buat apa punya tix id kalau gabisa booking dari jauh hari. ga ada gunanya, udah gitu metode pembayaran terkenal cuma bisa dana gabisa yang lain. aplikasi sampah.",1,negative
"Baru install, tapi tiap kali mau pilih seat langsung forced close.. 😑",1,negative
Excellent! better than CGV app itself.,5,positive
"Bagus mempermudah cari film d bioskop mana yg lagi main. TAPI REVIEW film nya tdk sesuai, review terpaksa liat situs lain. Contoh Film rating 8 an tapi d tonton nyesel pas cek im*b ternyat d bawah 6 🤣.",4,negative
sangat amat mmbantu untuk melihat jadwal bioskop,5,positive
App ini bagus kok.,5,positive
verry good,5,positive
oke dan membantu,5,positive
Kecewa banget gaada fitur refundnya...,1,negative
Banyakin promo. Dah naik 4000 skrg biaya adminnya,1,negative
Bagus,5,positive
ok,5,positive
Sangat memudahkan Dalam menonton bioskop,4,positive
Åå,5,negative
Buat apa ada Biaya admin sih???,5,negative
Keren,5,positive
Kenapa sekarang gak bisa nonton trailernya di aplikasi..error terus,5,negative
Excellent Movie Experience !,5,positive
Maaf aku gapake tix id lagi karena mtix udah bisa pake gopay...,5,negative
kebanyakan iklan lu gondrong,1,negative
"Aneh. Kemarin liat jadwal Oppenheimer di Kediri udah ga ada, sekarang buka lagi ada, tapi udah sold out. Sistemnya gimana sih ini?",2,negative
"Trauma pake aplikasi ini. Beli tiket untuk jam 20:30 tiba-tiba pas mau Redeem tiket dia maintenance dong. Mana CS nya gak fast respond padahal butuh solusi urgent. Dipikir beli tiket gapake duit kali. Ngerugiin banget pokoknya! Edit: Percuma udah diatasin juga problemnya. Orang film nya udah tayang dan kenyataannya tiketnya gabisa di Redeem saat itu ko. Sekali lagi, ngerugiin.",1,negative
Desain bagus. Hanya perlu menambahkan lihat film in app dan permudahkan metode transaksi saja,2,positive
Gangguan terus 👎🏿,1,negative
Lawak bener lagi mau nonton malah MT,1,positive
"KACAUUUUU, BARU KALI INI KECEWA SAMA TIX ID. PESEN KURSI BERKALI KALI GAGAL, TRUS SEKALINYA BERHASIL PROSES KURSINYA LAMA, DITINGGAK OTW, SAMPE BIOSKOP APLIKASINYA MAINTENANCE, DINTANYA KE KASIR EH UDH DI PESEN ORANGG. KACAU KACAU TIXXXX",1,negative
"very bad, don't use this, posisi kursi di app sama kenyataanya di bioskopnya beda, milih kursi di tengah selilsih kiri sama kanan 4 dan 6 kursi, sampe bioskop ternyata kursi yg di pesen di pojok kiri bukan d tengah",1,negative
All great,5,positive
Great 👍🏻,5,positive
Mantap,5,positive
sebaiknya adakan fitur ganti jam nonton atau refund tiket. aplikasi pasti akan lebih berguna. terima kasih,3,positive
easy access and helpful,5,positive
"Unbelievable service. App keeps crashing, unable to book tickets. Encountered this problem a couple of times. I've been using this app for a while, I thought it was just a momentary bugs at first, boy I was wrong. Better to use mtix or cgv official service, cheaper and greater offers too. Bye tix id. Thank you for your service. Smh.",1,negative
Bermasalah sma pembayaran di dana. Pahadal jaringan full bagus. Tpi gagal bayar dgn info kendala dengan jaringan,1,negative
"ampas, ga bisa transaksi",1,negative
"Update kursi yg udah terisi lama banget. Pas mau book kursi jadinya cuman loading aja. (Edited) Ya Allah demi apapun udah setahun lalu ngereview ttep aja gada perubahan. Update kursinya gajelas. Di aplikasi tersedia kursinya, tapi berkali2 melakukan pembayaran katanya jaringan ga stabil:) kacau. Padahal jaringan gue aman tentram.",1,negative
Selalu terjadi kesalahan setiap akan memutar video trailer.. Sudah lama kok tidak ada perbaikan.,1,negative
Too much notification spam. Please make it opt-in & provide a clear way to opt out.,1,negative
"Iklan pop up-nya annoying bgt, kalau gak sengaja ke pencet bakal forward ke browser terus balik lagi ke aplikasi. Mending ilangin aja!",5,negative
"Great app, need more time to adjust",4,positive
All the Best..!!!,5,positive
gabisa connect dana,1,negative
Pembayaran cuma bisa lewat DANA dan gak ada info sebelum pendaftaran. Bahkan transfer biasa pun gak bisa. Sungguh butut. Edit: Saya gak terkendala DANA. Saya cuman gak mau bikin akun e-wallet lagi. Cukup satu aja. By default harusnya bisa transfer bank lah.,1,negative
mantap bgt,5,positive
(2019 review reupload) Great app. Booking movie tickets online has never been easy and handy.,5,positive
Mudah digunakan dan sangat membantu,5,positive
Amazing,5,positive
kenapa saya ga bisa beli tiket hari esok ?,5,negative
Mantap,5,positive
Very expensive price 🤯😰😰🤯😰 Harganya sangat mahal 😰🤯🤯🤯,1,negative
Bagus. Cuman please jgn selalu bayar pake dana ya. Dana suka eror soalnya,5,positive
Mudah menggunakannya,5,positive
Easy to Use.,5,positive
nice dan gampang bgttttt di gunakan,5,positive
"Kasih bintang ⭐⭐⭐⭐❌ (4/5) dulu, punya pasal TIX FOOD XXI Lampung belum ada.",4,negative
Easy,5,positive
Tidak bisa melihat tempat duduk kecuali register dana. Saat mau register pun diblg koneksi internetnya ada masalah padahal baik2 aja. Waktu mau top up gbs. Parahhhhh,1,negative
"The app is overall great. Modern UI, Stable, complete with all the necessary feature such as movie and seat selections. However, the payment options available is exclusive to DANA, which makes it a less favorable app for non-DANA users. It would be much appreciated if other payment methods are included. Bank Virual Account Transfer will be a safe options",4,positive
"Tolong tambahkan metode pembayaran yang lain selain dana. Saya selalu mendapatkan error ""unstable connection"" padahal jelas2 jaringan internet saya baik2 saja. Sangat mengecewakan, dan tolong jangan diberikan solusi seperti menghapus data/ mengaktifkan airplane mode untuk sementara dll, karena hal tersebut sudah saya lakukan. Semoga aplikasi ini bisa lebih baik lagi.",1,negative
Please add another e wallet option. Always getting error when use DANA,2,negative
"Please, perbaiki dong, kenapa kalau pesan tiket mendekati jam tayang pasti eror",5,negative
"Apps jelek. Mau liat seat availability harus connect dana dulu. Udah donlot dana, mau connect masi disuruh update tix. Udah update masi aja gabisa connect dana, connection unstable, padahal streaming lancar2 aja. The worst, ribet.",1,negative
"Parah susah melanjutkan pembayaran, cuman bisa pake dana doang. Paling ga 2 metode dong bisa trf / gopay / shopeepay lah... Ribet bgt",1,negative
"Muter muter terus pas mau pesen, internet padahal lancar",1,negative
Sangat membantu. Satu app buat pesen semua,5,positive
Very useful and easy to read the describtion,5,positive
